,text,BIO_anno
5079,二类卡可以办这个吗？工行的,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-BANK I-BANK O
5080,对，事不过三，拒两次从此不用它家,O O O O O O O B-COMMENTS_ADJ O O O O O O O O
5081,问题不是很大，需要注意负债率，但是被风控的话，没办法,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O
5082,中信淘宝卡????26K,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
5083,请问现在怎么样...同是兴业，二次逾期了，已经四个月了，出了意外，一直没有催收电话什么的,O O O O O O O O O O O O B-BANK I-BANK O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O
5084,没有必要，该分期的时候就分期,O O O O O O B-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT
5085,这坑我跳了，也顺便提醒一下大家吧，当然头铁的我没意见,O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O
5086,给我打秒拒,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
5087,不，这是单独配额?,O O O O O O B-COMMENTS_N I-COMMENTS_N O
5088,我信用卡中仅销的两家就是邮政和农行,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-BANK I-BANK O B-BANK I-BANK
5089,你还是太年轻了小贱介意多头受信一般提额佛系点吧,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O
5090,我也是经常收到提示短信,O O O O O O O O O O O
5091,还完销吧。。注销了吧,O O O O O O B-COMMENTS_N I-COMMENTS_N O O
5092,平安不支持跨行自动还款啊，这个不方便,B-BANK I-BANK O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O
5093,知足吧.比我秒拒好多了,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O
5094,还是有滚动利润的。,O O O O O B-COMMENTS_N I-COMMENTS_N O O
5095,分期试试,B-PRODUCT I-PRODUCT O O
5096,请教，我办了招行的卡什么时间可以批下来,O O O O O O B-BANK I-BANK O O O O O O O O O O O
5097,广发客服真水，同一个问题同一个电话反驳，另一个给,B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O
5098,平安里数积分，卡不是特别重要?拿金卡，,B-BANK I-BANK O O B-PRODUCT I-PRODUCT O O O O O O O O O O B-PRODUCT I-PRODUCT O
5099,广发55k,B-BANK I-BANK O O O
5100,寄卡时有EMS的快递单号短信吗？？谢谢,O O O O O O O O O O O O O O O O O O O
5101,恭喜，主要我还一张信用卡没有，我寻思有一张我好好养着,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O
5102,一万起，额度还可以吧,O O O O B-COMMENTS_N I-COMMENTS_N O O O O
5103,你兴业居然是额度最高的。,O B-BANK I-BANK O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O
5104,这卡挺漂亮，要是有个5W就美了,O B-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O
5105,最好提额的银行了吧。老哥都17行大佬了，怎会不了解广发？,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O
5106,我感觉会共享额度,O O O O O O B-COMMENTS_N I-COMMENTS_N
5107,还没有录入系统。稍后查看时可以看到进度。应该都可以过，只是额度的问题,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O
5108,那就换成有积分的机子,O O O O O B-PRODUCT I-PRODUCT O O O
5109,浦发京东联名卡和白金卡额度共享么,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O
5110,那我再试一次。如果我不同意，我就不和她说话。,O O O O O O O O O O O O O O O O O O O O O O
5111,刚办完，没有车险的话，悦享版免，豪享版不免,O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT I-PRODUCT O O
5112,蚂蚁财富之帮你投，了解一下,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O
5113,2000元去买入BNBTC 目前大概1.5元一个 3年后再看看，投资需谨慎,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
5114,总授信大概多少？,O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
5115,我秒过app申请61000。。额度还行吧,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
5116,账单分期我分了2400+，说给我提固定2600……,B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O
5117,我也看了下申请页面是上架了，批了吗？平安还是很快的,O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O
5118,销了吗兄弟。注销安心些,O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O
5119,招商我也逾期了几个月，掉了1000,B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O
5120,平安分明是逼着我们分期保平安，要手续费呢，还有光头强，一出账单就来电话邀请分期，我怼了它一次，从此不来电话了，改为发短信了！...,B-BANK I-BANK O O O O O O O B-PRODUCT I-PRODUCT O B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O
5121,24还是25号申请的，几天还没人联系我.,O O O O O O O O O O O O O O O O O O O O
5122,无界卡没有卡,B-PRODUCT I-PRODUCT I-PRODUCT O O O
5123,哥们.你那过了吗？额度咋样,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O
5124,平安激活是在vtm激活，大堂经理合照，连可视电话，也就几分钟吧,B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O
5125,我大白金7w，前两年办了百夫长没激活降到5w，今年办了好车主金卡，又被降到是3.9,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O
5126,丢人（耻辱）的是那些拿别人的过往在自己脸上贴金，满口谎言…,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5127,代发工资和公积金流水，有的让手机查个截图就行，其他的资产证明有的话也带,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O
5128,理财产品还分保本和不保本。,B-PRODUCT I-PRODUCT O O O O O O O O O O O
5129,白条卡是什么？白条我也有2万多额度,B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N
5130,没有最低只有更低，更适合自己，再低的利息做不下来一点意义都没有，核心是做的下来还低息,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O
5131,一样，但是我感觉不限制,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
5132,收卡地址指的是卡片邮寄地址吗,O O O O O O O O O O O O O O
5133,我基本不去查征信，很久以前查过一次，看到2015年还是多久的网商贷记录还有，妈的贷款几十块几百块记录一大堆，我都无语了。应该是没有什么小贷的，只碰过京东啊借呗网商...,O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O
5134,刷卡太单一了，重复了那么多商家,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O
5135,支持反正汇丰是对我最好的银行对我好的在我心里就是好的,O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
5136,等待配额。?额度怎样,O O O O O O B-COMMENTS_N I-COMMENTS_N O O
5137,最近没怎么关注，不知道有没有银行的公告，最近4+1翻车不会跟ji也有关吧,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5138,还可以啊，我买的招行的基金,O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT
5139,改浦发?,O B-BANK I-BANK O
5140,之前吃了个菜卡然后取消了。我还需要去银行激活吗？,O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O
5141,扫码也有积分，主要还是看扫码的商户的。现在好像白金卡线下刷卡送3倍积分，网上交易送一倍积分吧。,O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT I-PRODUCT O O
5142,鼎极白开卡后，打电话销了这两个卡，DIY卡多选了2项年58元，不能自选还不能取消订制，只有销了它。,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O
5143,我等了17天了。。。太慢了,O O O O O O O O O O O B-COMMENTS_ADJ O
5144,欠了多少,O O O O
5145,公积金不够，就等着名额提5万吧。??,B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O
5146,2600年费的也能刷免,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O
5147,你好，你兴业兴享贷提前结清，后面的手续费给你返回来了吗？我今天刚提前结清，兴业把我后两年的手续费全部扣走了，说20个工作日给我返回来。能返回来吗？...,O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5148,有希望吗我感觉心里没底……两万的额度感觉都没希望了,O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O
5149,我不知道其他的逾期大额卡友是怎么情况？反正我今天接到的电话，对方态度很强硬。我就郁闷了。当初房贷在浦发银行贷款，浦发还因此给我办了AE白，卡固定额度最高13.6W了...,O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-PRODUCT I-PRODUCT O B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O
5150,没有房贷，没有网贷，没有逾期,O O B-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N
5151,销卡，半年后再申请,B-COMMENTS_N I-COMMENTS_N O O O O O O O
5152,这种情况从来没有遇到过，帮你顶一下，看看有没有懂的兄弟。有点麻烦啊,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
5153,买了半年十几万理财，刚刚秒批,O O O O O O O B-PRODUCT I-PRODUCT O O O O O
5154,如果未激活，则无法激活。??,O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O O O
5155,哪个卡？六月底被距了三次~，，不敢再试，其实蛮想办个招行的卡的,O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O
5156,niubility，什么卡？,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O
5157,广发银行的第三方催收堪比网贷,B-BANK I-BANK I-BANK I-BANK O O O O O O O O B-PRODUCT I-PRODUCT
5158,广发最高支持同时批6张卡,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O
5159,已关注，楼主下款了说下。我也有80000额度,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N
5160,个人认为先看看系统白名单额度多少再说,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O
5161,有公告，拉黑了好几家呢,O O O O O O O O O O O
5162,推荐的话还是得问问别人想法,O O O O O O O O O O O O O
5163,我也是，积分不能用了,O O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O
5164,填写资料时填写了车牌号，单位电话因为单位没有座机填的0000-00000000。,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5165,没什么，只前消过卡的再申是这样,O O O O O O O O O O O O O O O
5166,建行，1个多月未还，建行上海总部打电话过来协商还款，3年还清，不用息，但是卡给注消。,B-BANK I-BANK O O O O O O O O B-BANK I-BANK O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O
5167,资质不好，能下就不错了,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
5168,额度共享吧。,B-COMMENTS_N I-COMMENTS_N O O O O
5169,真是服了你们了，人家给你宽松了，係却逼着人家给係收紧，你就好过些,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5170,找朋友周转一下嘛！你不会连个能借钱的朋友都没有吧？这么可怜,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5171,一百多还要打电话问，邮政就是麻烦，要和影要拍签字照,O O O O O O O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O
5172,是不是中国人寿,O O O B-BANK I-BANK I-BANK I-BANK
5173,最近是不是有发卡任务？也给我打了，下了个智汇卡，也不是白金,O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT
5174,十分钟就过了，什么电话都没有，直接过的。这种去面签会不会被砍额度还是要二次审核？刚接触,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O
5175,享受到什么样的服务，理财产品最终是否赚到钱，都取决于上面以上部门的密切配合，缺一不可。,O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5176,看到有人说最近没了，但似乎是app上付的没了。MCC对的情况下，有最近实测线下applepay算多倍的吗？另外二维码被扫都算吧？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O
5177,还没有，明天看，我不着急,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
5178,这说明刚才座机收到的电话已经被拒绝了，我以为是浦东发展信贷卡中心打来的电话。,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
5179,应该是帐户名,O O O O O O
5180,对纸质好的就是放水??一般就是秒拒,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
5181,上个月出临时没用，这个月啥也没了,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O
5182,异地申请常驻城市怎么填，有人知道么？,O O O O O O O O O O O O O O O O O O
5183,一般不会，白金卡还是很好用的,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
5184,稳了，三万,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O
5185,是不是没有秒批就没戏了,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O
5186,我问了我家地址然后就没了。当时我以为是推销电话。不知道批不批，批多少额度,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N
5187,定投宽基指数和行业指数基金,O O O O O O O O O O O B-PRODUCT I-PRODUCT
5188,拖到哪里，4s店吗？,O O O O O O O O O O
5189,招商74k,B-BANK I-BANK O O O
5190,中信10K-16K-22K已销,B-BANK I-BANK O O O O O O O O O O O O O
5191,我年薪只填了20。。职级不太记得了，看额度是多,O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O
5192,优质就申鼎雅鼎致,B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT
5193,请问秒批的那种还会电话征信你吗？,O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O
5194,银行其实都差不多，信贷的话8里左右，不过4月1号利息可能会上调，具体的还没确定,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O
5195,线下打电话问了，能申请信用卡吗，人家说不能,O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
5196,好的谢谢还有一个问题一个月鸡34笔其他的都是线上的可以吗？vxzfb那些,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5197,厉害厉害，谁能告诉一下明天该哪家银行放水了，我好赶个早班车,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O
5198,要求退分期手续费的年费,O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N
5199,上表中，最值得关注的指标是最后一列「收益/收入」，代表资金投资收益和人力资本投入收益的比值，可以发现：,O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O
5200,兴业秒拒我，广发同天给我批5万，你说气不气人。兴业需要什么姿势呢？,B-BANK I-BANK O B-COMMENTS_ADJ O O B-BANK I-BANK O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O
5201,全额退款，第二天就可以用了,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O
5202,你用过肯定涨，但你现在敢用不？用了可能降额,O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_ADJ O
5203,没问题，银行不看名字,O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O
5204,分期就能知道,B-PRODUCT I-PRODUCT O O O O
5205,初审会打电话吗，我办的招行的,O O O O O O O O O O O B-BANK I-BANK O
5206,3+1有临时吗？临时额度咋搞的,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O
5207,我的秒拒,O O B-COMMENTS_ADJ I-COMMENTS_ADJ
5208,光大14→55.2~66.2~76.1,B-BANK I-BANK O O O O O O O O O O O O O O O O O
5209,为啥想不开呢？,O O O O O O O
5210,工商2.6浙商5.0平安5.0,O O O O O B-BANK I-BANK O O O B-BANK I-BANK O O O
5211,真的用来消费的，千万不要用小动物，信用卡是按目前的额度使用的。,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O O
5212,我觉得广发点比工人和省会城市有用。,O O O B-BANK I-BANK O O O O O O O O O O O O
5213,通过什么渠道申请的，额度居然这么高,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ
5214,取消积分卡,O O B-PRODUCT I-PRODUCT O
5215,可以刷，按卡即可发送。谢谢你，兄弟?我有两个卡？可以刷哪一个，0元？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5216,第二天就过了，没资格，没公积金，没社保，没车,O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
5217,不是绝对的。,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
5218,卓越孝心白多少额度起批,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O
5219,你从下卡到现在有多久？有2年了吗,O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O
5220,这个卡貌似都是秒批5w,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O
5221,有，我的已经批了。额度还满意,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ
5222,23行，卡额度77.62万，卡贷25万，总授信102.62万。,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O
5223,不是随便刷么。偶尔单笔超额也不行啊,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O
5224,支付宝微信都有。。邮储积分没意思,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O
5225,当然与固定收益类资产一样，权益类资产也会有由交易产生的收益，特别是对于交易活跃的股票资产。,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O
5226,是太着急了，还进去当天就刷了,O O O O O O O O O O O O O O
5227,跟我说分期，3.6分12期，但是这期间，还是处于逾期状态，也就是说这一年，你的征信会一直显示逾期，而且还会有利息，要我12期还完之后再申请减免，...,O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O
5228,别来这造谣了。你这图根本看不出一卡二卡,O O O O O O O O O O O O O O O O O O O
5229,楼主，犀利卡，可以发现精彩上面申请么？还是找卡员。求解答，谢谢,O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
5230,有水可以下去,O O O O O O
5231,申晚了，过去两年活动好多，现在基本没了，很鸡肋。,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O
5232,今天不行了，只能抵扣百分之五十了,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O
5233,你有几个卡了？多少总额了啊？,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O
5234,餐饮好刷。现在广发针对总薅羊毛的。有些返现不反了或者只反1%周五刷不反,O O B-COMMENTS_ADJ O O O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O
5235,卓越孝心白不激活收不收年费,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N
5236,坐标上海，低息银行有工农中建交招浦，但低息银行对客户资质要求很高，具体需要根据你具体的情况匹配。,O O O O O B-COMMENTS_ADJ O O O O B-BANK B-BANK B-BANK B-BANK B-BANK B-BANK B-BANK O O B-COMMENTS_ADJ O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O
5237,有，刚看到有两个套餐版本，还是很适合上班族的，招行的卡很手欢迎,O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O
5238,2万秒批刚激活回来,O O O O O B-COMMENTS_N I-COMMENTS_N O O
5239,浦发风控行，持有的意义不大,B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
5240,申请下来了吗？我申请被拒了，好像得有优抚基金会的惠军卡才能申请浦发的惠军卡,O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O B-BANK I-BANK O O O O
5241,是现在还逾期还是逾期处理已经一年半了？,O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O
5242,20块的权益明天就可以取消，??证券账户，需要本人视频认证的，应该没有开通吧。,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O
5243,接下来，便是理财产品的正式募集了，由受过专业培训的理财经理向不同客户介绍跟自己需求相匹配理财产品。,O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O
5244,被害妄想症，当你分期24期的时候早被列为风险用户，如果后期近6个月负债率过高，早触发了银行风控模型认定...,O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O
5245,5000额度？,O O O O B-COMMENTS_N I-COMMENTS_N O
5246,楼主可以分几期？,O O O O O O O O
5247,羊毛多，大家都多，风险控制更严格，多了容易封。估计,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O
5248,一分钟菜卡额度五千,O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O
5249,用不用带实体卡？纠结的,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O
5250,对，实体卡需要告诉,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O
